I be(mA)	I ce(mA)	U(Ib)	I(Ib)0E+0	I(Ib)100E-3	I(Ib)200E-3	I(Ib)300E-3	I(Ib)400E-3	I(Ib)500E-3	I be(mA)	U be (V)	Ube(Ib)0E+0	Ube(Ib)100E-3	Ube(Ib)200E-3	Ube(Ib)300E-3	Ube(Ib)400E-3	Ube(Ib)500E-3	
0	0	0	0	25,879	40,381	49,268	55,908	61,279	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,928	40,43	49,414	56,055	61,475	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	25,977	40,576	49,561	56,201	61,621	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	25,977	40,674	49,707	56,396	61,768	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,025	40,771	49,854	56,543	61,963	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,025	40,869	49,951	56,689	62,109	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,074	40,918	50,098	56,836	62,256	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,123	41,016	50,244	56,982	62,402	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,172	41,113	50,391	57,129	62,598	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,172	41,309	50,635	57,422	62,891	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,221	41,406	50,732	57,568	63,037	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,221	41,455	50,879	57,715	63,184	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,27	41,602	50,977	57,861	63,379	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,27	41,65	51,123	58,008	63,525	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,318	41,748	51,221	58,154	63,672	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,318	41,797	51,367	58,301	63,818	0	0	0	73,242	77,148	78,613	79,59	80,566
0	0	0	0	26,367	41,895	51,465	58,447	63,965	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,367	41,992	51,611	58,594	64,111	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,416	42,09	51,709	58,691	64,258	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,416	42,139	51,855	58,838	64,404	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,465	42,236	51,953	58,984	64,551	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,465	42,285	52,051	59,131	64,746	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,465	42,383	52,197	59,229	64,844	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,514	42,48	52,295	59,375	64,99	0	0	0	73,242	77,637	79,102	79,59	80,078
0	0	0	0	26,514	42,529	52,393	59,521	65,137	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,514	42,627	52,49	59,619	65,283	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,562	42,725	52,637	59,766	65,43	0	0	0	73,242	77,148	78,613	79,59	80,566
0	0	0	0	26,562	42,773	52,734	59,863	65,576	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,562	42,871	52,832	60,01	65,723	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,611	42,92	52,93	60,156	65,869	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,611	43,018	53,027	60,303	66,016	0	0	0	73,242	77,148	79,102	79,59	80,078
0	0	0	0	26,611	43,066	53,174	60,4	66,113	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,611	43,115	53,271	60,498	66,26	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,66	43,164	53,32	60,645	66,406	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,66	43,262	53,467	60,791	66,553	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,66	43,311	53,516	60,889	66,65	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,66	43,408	53,662	60,986	66,797	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,709	43,457	53,76	61,133	66,943	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,709	43,506	53,809	61,23	67,041	0	0	0	73,242	77,637	78,613	79,59	80,566
0	0	0	0	26,709	43,604	53,906	61,328	67,187	0	0	0	73,242	77,637	78,613	79,59	80,566
0	0	0	0	26,758	43,652	54,004	61,475	67,334	0	0	0	73,73	77,637	78,613	79,59	80,566
0	0	0	0	26,709	43,701	54,102	61,572	67,432	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,758	43,799	54,199	61,719	67,578	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,758	43,848	54,297	61,816	67,725	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,758	43,896	54,395	61,914	67,822	0	0	0	73,242	77,637	78,613	79,59	80,566
0	0	0	0	26,807	43,945	54,492	62,012	67,969	0	0	0	73,242	77,637	78,613	79,59	80,566
0	0	0	0	26,807	44,043	54,59	62,158	68,066	0	0	0	73,73	77,637	79,102	79,59	80,078
0	0	0	0	26,807	44,092	54,687	62,256	68,213	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,807	44,141	54,785	62,354	68,311	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,807	44,189	54,834	62,5	68,457	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,807	44,287	55,029	62,695	68,701	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,855	44,385	55,127	62,793	68,799	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	26,855	44,434	55,225	62,891	68,896	0	0	0	73,242	77,637	78,613	79,59	80,566
0	0	0	0	26,855	44,482	55,273	62,988	69,043	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,855	44,531	55,371	63,086	69,141	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,904	44,58	55,469	63,184	69,238	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,855	44,629	55,518	63,281	69,385	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,904	44,727	55,615	63,379	69,482	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	26,904	44,727	55,713	63,525	69,629	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,904	44,824	55,811	63,623	69,727	0	0	0	73,242	77,148	78,613	79,59	80,078
0	0	0	0	26,904	44,873	55,859	63,721	69,824	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	26,953	44,922	55,957	63,818	69,971	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,904	44,971	56,055	63,916	70,068	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,953	45,02	56,104	64,014	70,166	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,904	45,068	56,201	64,111	70,264	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,953	45,117	56,25	64,209	70,41	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	26,953	45,166	56,348	64,307	70,508	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	26,953	45,215	56,445	64,404	70,605	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	26,953	45,264	56,494	64,502	70,703	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,002	45,312	56,592	64,6	70,801	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	26,953	45,361	56,641	64,697	70,947	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,002	45,41	56,738	64,746	71,045	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,002	45,459	56,787	64,844	71,143	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	27,002	45,508	56,885	64,941	71,24	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	27,002	45,557	56,934	65,039	71,338	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,002	45,605	57,031	65,137	71,436	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,002	45,654	57,08	65,234	71,582	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	27,051	45,703	57,178	65,332	71,68	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,051	45,752	57,227	65,381	71,729	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,051	45,801	57,324	65,479	71,875	0	0	0	73,242	77,637	78,613	79,59	80,078
0	0	0	0	27,051	45,801	57,373	65,576	71,973	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	27,051	45,898	57,422	65,674	72,07	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,051	45,898	57,52	65,771	72,119	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,051	45,947	57,568	65,869	72,217	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,051	45,996	57,666	65,918	72,314	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	27,1	46,045	57,715	66,016	72,461	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,1	46,094	57,812	66,113	72,559	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,1	46,143	57,861	66,162	72,607	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,1	46,191	57,91	66,26	72,705	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,1	46,24	58,008	66,309	72,803	0	0	0	73,73	77,637	78,613	79,59	80,078
0	0	0	0	27,1	46,289	58,057	66,406	72,9	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,338	58,105	66,504	72,998	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,387	58,252	66,65	73,193	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,436	58,301	66,748	73,291	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,148	46,484	58,398	66,797	73,389	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,533	58,447	66,895	73,437	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,533	58,496	66,992	73,535	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,582	58,545	67,041	73,633	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,148	46,631	58,643	67,139	73,73	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,197	46,68	58,691	67,236	73,828	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,197	46,729	58,74	67,285	73,926	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,197	46,729	58,789	67,383	74,023	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,197	46,777	58,887	67,432	74,072	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,197	46,826	58,936	67,529	74,17	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,197	46,875	58,984	67,627	74,268	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,197	46,924	59,033	67,676	74,316	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,246	46,924	59,131	67,773	74,463	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,197	46,973	59,18	67,822	74,512	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,246	47,021	59,229	67,92	74,609	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,246	47,07	59,277	67,969	74,707	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,246	47,07	59,326	68,066	74,756	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,246	47,119	59,375	68,115	74,854	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,295	47,168	59,473	68,213	74,951	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,246	47,217	59,521	68,262	75	0	0	0	73,73	77,148	78,613	79,59	80,078
0	0	0	0	27,295	47,266	59,57	68,359	75,098	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,246	47,266	59,619	68,408	75,195	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,295	47,314	59,668	68,506	75,244	0	0	0	73,73	77,148	78,613	79,102	79,59
0	0	0	0	27,295	47,314	59,717	68,555	75,342	0	0	0	73,73	77,148	78,613	79,102	80,078
0	0	0	0	27,295	47,363	59,766	68,604	75,391	0	0	0	73,73	77,148	78,613	79,59	80,078
